HCPC,SHORT DESCRIPTION,LONG DESCRIPTION
G9359,Neg mgd pos tb notact,Documentation of negative or managed positive tb screen with further evidence that tb is not active prior to the treatment with a biologic immune response modifier
G9360,No doc of neg or man pos tb,No documentation of negative or managed positive tb screen
G9361,Doc rsn elect c-sec/induct,"Medical indication for induction [documentation of reason(s) for elective delivery (c-section) or early induction (e.g., hemorrhage and placental complications, hypertension, preeclampsia and eclampsia, rupture of membranes-premature or prolonged, materna"
G9362,Mac or pnb w/o genanes >60m,"Duration of monitored anesthesia care (mac) or peripheral nerve block (pnb) without the use of general anesthesia during an applicable procedure 60 minutes or longer, as documented in the anesthesia record"
G9363,Mac or pnb w/o genanes <60m,"Duration of monitored anesthesia care (mac) or peripheral nerve block (pnb) without the use of general anesthesia during an applicable procedure or general or neuraxial anesthesia less than 60 minutes, as documented in the anesthesia record"
G9364,Sinus caus bac inx,"Sinusitis caused by, or presumed to be caused by, bacterial infection"
G9365,1high risk med ord,One high-risk medication ordered
G9366,1high risk no ord,One high-risk medication not ordered
G9367,>= 2 same hi-rsk med ord,At least two orders for the same high-risk medication
G9368,>= 2 same hi-rsk med not ord,At least two orders for the same high-risk medications not ordered
G9369,Fill 2 rx antipsych,Individual filled at least two prescriptions for any antipsychotic medication and had a pdc of 0.8 or greater
G9370,Not fill 2 rx antipsych,Individual who did not fill at least two prescriptions for any antipsychotic medication or did not have a pdc of 0.8 or greater
G9376,Contd ret attach at 6mth f/u,Patient continued to have the retina attached at the 6 months follow up visit (+/- 1 month) following only one surgery
G9377,No ret attach after 6mt,Patient did not have the retina attached after 6 months following only one surgery
G9378,Contd ret attach f/u vis,Patient continued to have the retina attached at the 6 months follow up visit (+/- 1 month)
G9379,No acheive flat ret 6mth,Patient did not achieve flat retinas six months post surgery
G9380,Off assis eol iss,Patient offered assistance with end of life issues during the measurement period
G9381,Doc med reas no offer eol,"Documentation of medical reason(s) for not offering assistance with end of life issues (e.g., patient in hospice care, patient in terminal phase) during the measurement period"
G9382,No off assis eol,Patient not offered assistance with end of life issues during the measurement period
G9383,Recd scrn hcv infec,Patient received screening for hcv infection within the 12 month reporting period
G9384,Doc med rsn no hcv scrn,"Documentation of medical reason(s) for not receiving annual screening for hcv infection (e.g., decompensated cirrhosis indicating advanced disease [i.e., ascites, esophageal variceal bleeding, hepatic encephalopathy], hepatocellular carcinoma, waitlist fo"
G9385,Doc pt reas not rec hcv srn,"Documentation of patient reason(s) for not receiving annual screening for hcv infection (e.g., patient declined, other patient reasons)"
G9386,Scrn hcv infec not recd,"Screening for hcv infection not received within the 12 month reporting period, reason not given"
G9389,Unpln rup post cap,Unplanned rupture of the posterior capsule requiring vitrectomy during cataract surgery
G9390,No unpln rup post cap,No unplanned rupture of the posterior capsule requiring vitrectomy during cataract surgery
G9391,Achv refrac +1d,"Patient achieves refraction +-1 d for the eye that underwent cataract surgery, measured at the one month follow up visit"
G9392,Not achv refrac +1d,"Patient does not achieve refraction +-1 d for the eye that underwent cataract surgery, measured at the one month follow up visit"
G9393,Ini phq9 >9 remiss <5,Patient with an initial phq-9 score greater than nine who achieves remission at twelve months as demonstrated by a twelve month (+/- 30 days) phq-9 score of less than five
G9394,"Dx bipol, death, nhres, hosp","Patient who had a diagnosis of bipolar disorder or personality disorder, death, permanent nursing home resident or receiving hospice or palliative care any time during the measurement or assessment period"
G9395,Ini phq9 >9 no remiss >=5,Patient with an initial phq-9 score greater than nine who did not achieve remission at twelve months as demonstrated by a twelve month (+/- 30 days) phq-9 score greater than or equal to five
G9396,Ini phq9 >9 not assess,Patient with an initial phq-9 score greater than nine who was not assessed for remission at twelve months (+/- 30 days)
G9399,Doc disc tx choices,"Documentation in the patient record of a discussion between the physician/clinician and the patient that includes all of the following: treatment choices appropriate to genotype, risks and benefits, evidence of effectiveness, and patient preferences towar"
G9400,Doc reas no disc tx opt,Documentation of medical or patient reason(s) for not discussing treatment options; medical reasons: patient is not a candidate for treatment due to advanced physical or mental health comorbidity (including active substance use); currently receiving antiv
G9401,No disc tx choices,"No documentation in the patient record of a discussion between the physician or other qualified healthcare professional and the patient that includes all of the following: treatment choices appropriate to genotype, risks and benefits, evidence of effectiv"
G9402,Recd f/u w/in 30d disch,Patient received follow-up within 30 days after discharge
G9403,Doc reas no 30 day f/u,"Clinician documented reason patient was not able to complete 30 day follow-up from acute inpatient setting discharge (e.g., patient death prior to follow-up visit, patient non-compliant for visit follow-up)"
G9404,No 30 day f/u,Patient did not receive follow-up on the date of discharge or within 30 days after discharge
G9405,Recd f/u w/in 7d dc,Patient received follow-up within 7 days after discharge
G9406,Doc reas no 7d f/u,"Clinician documented reason patient was not able to complete 7 day follow-up from acute inpatient setting discharge (i.e patient death prior to follow-up visit, patient non-compliance for visit follow-up)"
G9407,No 7d f/u,Patient did not receive follow-up on or within 7 days after discharge
G9408,Card tamp w/in 30d,Patients with cardiac tamponade and/or pericardiocentesis occurring within 30 days
G9409,No card tamp e/in 30d,Patients without cardiac tamponade and/or pericardiocentesis occurring within 30 days
G9410,Admit w/in 180d req remov,"Patient admitted within 180 days, status post cied implantation, replacement, or revision with an infection requiring device removal or surgical revision"
G9411,No admit w/in 180d req remov,"Patient not admitted within 180 days, status post cied implantation, replacement, or revision with an infection requiring device removal or surgical revision"
